stock,weight
AAPL,7.029606
MSFT,6.423429
AMZN,3.308789
NVDA,2.804402
GOOGL,2.062071
META,1.810112
GOOG,1.780882
TSLA,1.768952
BRK.B,1.703767
UNH,1.254539
JPM,1.200985
JNJ,1.197456
XOM,1.191547
LLY,1.099077
V,1.040106
PG,0.984461
AVGO,0.940114
HD,0.892748
MA,0.889368
CVX,0.765764
MRK,0.716924
ABBV,0.71589
PEP,0.676481
COST,0.66602
KO,0.633815
ADBE,0.633263
WMT,0.600761
CSCO,0.584771
BAC,0.574103
TMO,0.564961
MCD,0.56172
CRM,0.545656
PFE,0.539679
ACN,0.524657
NFLX,0.511859
CMCSA,0.511288
LIN,0.500963
ABT,0.488171
AMD,0.475084
ORCL,0.465357
DHR,0.45746
DIS,0.448093
WFC,0.438541
TXN,0.405819
PM,0.401307
CAT,0.391456
INTC,0.387133
INTU,0.377177
UNP,0.376664
COP,0.37512
AMGN,0.374068
VZ,0.37072
NEE,0.36981
BA,0.360593
NKE,0.359525
LOW,0.352507
IBM,0.348126
UPS,0.346747
BMY,0.344607
QCOM,0.344513
SPGI,0.341267
RTX,0.337636
HON,0.337083
GE,0.330152
AMAT,0.32591
BKNG,0.318597
DE,0.314127
SBUX,0.312328
MS,0.306069
GS,0.302864
NOW,0.30263
PLD,0.300973
ELV,0.295712
MDT,0.295557
ISRG,0.285378
BLK,0.279458
ADP,0.277518
LMT,0.271474
T,0.270009
MDLZ,0.268713
GILD,0.266676
TJX,0.266199
AXP,0.260163
SCHW,0.256689
SYK,0.255088
CVS,0.25387
MMC,0.252541
ADI,0.250262
LRCX,0.247544
VRTX,0.238739
ZTS,0.233768
AMT,0.23231
C,0.231018
ETN,0.230632
CI,0.22877
REGN,0.227881
SLB,0.223691
CB,0.223309
TMUS,0.212306
BDX,0.210242
MO,0.209596
FI,0.208184
EOG,0.205422
SO,0.201671
PGR,0.196971
CME,0.19662
BSX,0.195695
EQIX,0.193758
DUK,0.190968
MU,0.190888
PYPL,0.187491
KLAC,0.18215
ITW,0.179392
SNPS,0.175772
ATVI,0.174052
AON,0.174008
PANW,0.173356
SHW,0.171981
ICE,0.171503
CL,0.170298
APD,0.169491
CSX,0.168241
NOC,0.165442
FDX,0.165429
CDNS,0.165424
HUM,0.165343
MPC,0.164969
FCX,0.161929
TGT,0.160819
WM,0.158619
MCK,0.157431
MMM,0.153265
ORLY,0.152589
HCA,0.148009
PXD,0.147572
USB,0.147074
NXPI,0.146592
EMR,0.145875
MAR,0.143809
MCO,0.142375
PH,0.141503
PSX,0.140824
APH,0.139626
ROP,0.138141
PNC,0.137853
CMG,0.136159
GD,0.135744
NSC,0.132437
VLO,0.130484
F,0.127697
AJG,0.127642
GM,0.127347
EW,0.127002
MSI,0.126053
ADM,0.125923
TT,0.124197
CARR,0.124007
OXY,0.123658
ECL,0.122553
MCHP,0.122008
TDG,0.121707
AZO,0.121299
CCI,0.120988
PSA,0.120295
ADSK,0.120098
SRE,0.119974
CHTR,0.119041
PCAR,0.119021
MNST,0.11811
AIG,0.117034
DXCM,0.116769
MSCI,0.116748
ANET,0.116641
STZ,0.116328
HES,0.116127
KMB,0.115283
TEL,0.114822
GIS,0.114051
WMB,0.113628
CTAS,0.11317
WELL,0.113
COF,0.112852
ON,0.112594
NUE,0.112441
IDXX,0.112375
TFC,0.111437
AFL,0.111412
AEP,0.111191
D,0.111107
HLT,0.11067
IQV,0.109967
JCI,0.109277
MET,0.107879
EXC,0.106762
PAYX,0.106412
O,0.105929
EL,0.105243
DOW,0.105145
ROST,0.104803
FTNT,0.104799
SPG,0.103876
BIIB,0.103714
TRV,0.103138
DHI,0.103102
YUM,0.100989
A,0.100842
CTVA,0.099683
CPRT,0.099516
ODFL,0.098152
OTIS,0.097974
DG,0.097973
HAL,0.097807
SYY,0.097651
AME,0.097564
CNC,0.096795
CTSH,0.096694
AMP,0.096433
LHX,0.094779
BKR,0.094437
DLR,0.094163
DD,0.093247
PRU,0.092919
KMI,0.092485
CEG,0.09201
ROK,0.091085
FIS,0.090744
VRSK,0.090322
GPN,0.089816
CMI,0.089595
URI,0.089178
MRNA,0.088403
BK,0.088158
HSY,0.087933
CSGP,0.087634
PPG,0.087175
DVN,0.087137
XEL,0.086901
FAST,0.086641
GWW,0.085562
KR,0.085352
EA,0.085129
NEM,0.084534
ED,0.083852
LEN,0.083648
WBD,0.083412
VICI,0.083067
DLTR,0.082601
ABC,0.08085
PEG,0.080607
RSG,0.080538
VMC,0.079567
WST,0.0792
ALL,0.07833
OKE,0.077719
ILMN,0.077717
DAL,0.076897
PWR,0.076581
HPQ,0.076176
MLM,0.076143
ACGL,0.075604
GEHC,0.075592
KDP,0.075461
KEYS,0.075384
FTV,0.07491
PCG,0.074772
APTV,0.074614
MTD,0.074009
FANG,0.073522
IR,0.073516
EXR,0.073373
CDW,0.073345
KHC,0.072854
WEC,0.072652
AWK,0.071956
EIX,0.071294
IT,0.071089
CBRE,0.071066
DFS,0.070409
ZBH,0.069917
ANSS,0.069396
RMD,0.069284
AVB,0.069158
TROW,0.068216
LYB,0.06815
ALGN,0.067186
GLW,0.066461
SBAC,0.065896
TSCO,0.065604
WY,0.065438
STT,0.06542
XYL,0.06522
EFX,0.064802
CAH,0.063573
EBAY,0.062684
CHD,0.062289
MPWR,0.062046
ES,0.061764
MTB,0.061126
ULTA,0.061115
HIG,0.060709
HPE,0.060648
RCL,0.060332
STE,0.060166
ALB,0.059926
EQR,0.059689
DTE,0.059177
GPC,0.058927
TTWO,0.058683
BAX,0.058
FICO,0.057766
MKC,0.057617
WTW,0.0574
CTRA,0.056397
BR,0.056322
WBA,0.055993
AEE,0.055533
WAB,0.054998
RJF,0.054894
ETR,0.054416
FSLR,0.054246
LUV,0.053632
DRI,0.053312
DOV,0.053306
INVH,0.053227
CLX,0.053001
FLT,0.052877
FE,0.052416
RF,0.051801
ARE,0.051238
PPL,0.051053
FITB,0.050757
LH,0.050618
TRGP,0.050595
HOLX,0.050164
LVS,0.050158
PHM,0.050011
VRSN,0.049925
COO,0.049817
ENPH,0.049588
NVR,0.049354
HWM,0.048955
MOH,0.048808
CNP,0.048382
EXPD,0.04824
TDY,0.048092
BALL,0.047523
IRM,0.047406
PFG,0.046967
J,0.046879
VTR,0.046576
CCL,0.046506
NDAQ,0.046444
UAL,0.046196
WAT,0.046041
SWKS,0.046013
HBAN,0.045656
CINF,0.045514
BG,0.045008
JBHT,0.044833
ATO,0.044761
CMS,0.044696
NTAP,0.044557
MAA,0.044521
MRO,0.044459
NTRS,0.044447
TER,0.04438
IEX,0.044348
BRO,0.04426
STLD,0.043854
PODD,0.043466
K,0.043443
OMC,0.043436
FDS,0.043205
TYL,0.043174
IFF,0.043045
EXPE,0.042619
GRMN,0.042583
AKAM,0.042324
BBY,0.042313
SJM,0.042056
TXT,0.041928
CF,0.041865
CBOE,0.041686
ESS,0.041547
EQT,0.041542
EG,0.04116
TSN,0.041029
RVTY,0.040809
PTC,0.040544
AVY,0.04032
CFG,0.0402
SYF,0.040179
POOL,0.040116
DGX,0.039794
CAG,0.039305
SWK,0.039067
AMCR,0.038873
AXON,0.038346
SNA,0.038175
DPZ,0.037996
PAYC,0.037818
MOS,0.037724
MGM,0.037561
LW,0.037439
EPAM,0.037114
PKG,0.036769
TRMB,0.036617
APA,0.036448
LKQ,0.036346
VTRS,0.036172
WDC,0.035979
KMX,0.035685
EVRG,0.035595
LDOS,0.035315
MAS,0.035278
ZBRA,0.035175
AES,0.035015
TECH,0.034898
STX,0.034841
NDSN,0.034796
LNT,0.034631
IPG,0.034501
WRB,0.034351
IP,0.03418
MTCH,0.03391
BF.B,0.033887
CE,0.033661
JKHY,0.033404
KIM,0.033208
LYV,0.032873
L,0.032642
INCY,0.032464
UDR,0.03223
TAP,0.032131
CZR,0.031962
HST,0.031842
GEN,0.031782
CPT,0.031703
HRL,0.031402
PNR,0.030927
PEAK,0.030607
CHRW,0.030288
CDAY,0.030041
CRL,0.029597
FMC,0.029401
WYNN,0.029087
KEY,0.028842
NI,0.028761
TFX,0.028572
QRVO,0.027858
HSIC,0.027653
EMN,0.027421
AAL,0.027413
GL,0.027323
REG,0.026754
SEDG,0.026574
BWA,0.026294
ALLE,0.026291
ETSY,0.026167
ROL,0.025186
BXP,0.025184
FFIV,0.024957
FOXA,0.024835
AOS,0.024562
JNPR,0.023854
HII,0.023768
CPB,0.023691
MKTX,0.023674
BBWI,0.023644
NRG,0.023102
PNW,0.023056
WRK,0.022993
BIO,0.022552
UHS,0.022486
RHI,0.022319
CTLT,0.022301
TPR,0.022277
XRAY,0.022177
HAS,0.022077
BEN,0.021301
NWSA,0.021065
PARA,0.020775
WHR,0.020275
FRT,0.020058
AIZ,0.019988
NCLH,0.019821
IVZ,0.019634
CMA,0.018235
GNRC,0.018072
VFC,0.017644
DVA,0.016062
OGN,0.015857
ALK,0.015407
SEE,0.015386
ZION,0.015044
MHK,0.014085
RL,0.013406
DXC,0.012381
FOX,0.011995
AAP,0.011513
LNC,0.010841
NWL,0.010715
NWS,0.006736
FTRE,0.000002
